Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,e8843af56db021714bfbd1e82aae29bdb8655e08,2018-10-13 17:07:37-07:00,.gitignore,.gitignore,,,,,184,0,,,added,1,2019-10-11 09:39:23-07:00,c492329c743dac8080a1d488daf7510e45e573ff
2,LICENSE,e8843af56db021714bfbd1e82aae29bdb8655e08,2018-10-13 17:07:37-07:00,,,,,,,202,0,,,added,0,,
3,MANIFEST.in,e8843af56db021714bfbd1e82aae29bdb8655e08,2018-10-13 17:07:37-07:00,,,,,,,4,0,,,added,0,,
4,README.md,e8843af56db021714bfbd1e82aae29bdb8655e08,2018-10-13 17:07:37-07:00,README.md,README.md,,,,,207,19,,,added,16,2020-04-27 10:10:53-07:00,a4cb7c2b225e3be5b62404ce5821d1c07e4972bd
5,VERSION.txt,e8843af56db021714bfbd1e82aae29bdb8655e08,2018-10-13 17:07:37-07:00,VERSION.txt,VERSION.txt,,,,,21,20,,,added,20,2020-07-15 16:30:28-07:00,33bfedccfdfc78338170defb91e7b46c0a4ea435
6,requirements.txt,e8843af56db021714bfbd1e82aae29bdb8655e08,2018-10-13 17:07:37-07:00,requirements.txt,requirements.txt,,,,,23,6,,,added,9,2020-04-27 10:22:53-07:00,9ea412c5bd731311047de9c7045d00a59987f896
7,rpcq-tests.asd,e8843af56db021714bfbd1e82aae29bdb8655e08,2018-10-13 17:07:37-07:00,rpcq-tests.asd,rpcq-tests.asd,,,,,41,5,,,added,3,2019-11-14 15:49:30-06:00,211997864e7aec621be6cf9abf79f603e96cb59b
8,rpcq.asd,e8843af56db021714bfbd1e82aae29bdb8655e08,2018-10-13 17:07:37-07:00,rpcq.asd,rpcq.asd,,,,,49,2,,,added,8,2019-12-16 09:24:41-08:00,63ed92f04b87feeb92e1265e55c7aeb4637b9c7d
9,rpcq/__init__.py,e8843af56db021714bfbd1e82aae29bdb8655e08,2018-10-13 17:07:37-07:00,rpcq/__init__.py,rpcq/__init__.py,,,,,5,2,,,added,1,2019-10-11 09:39:23-07:00,c492329c743dac8080a1d488daf7510e45e573ff
10,rpcq/_base.py,e8843af56db021714bfbd1e82aae29bdb8655e08,2018-10-13 17:07:37-07:00,rpcq/_base.py,rpcq/_base.py,,,,,269,62,,,added,4,2019-05-01 18:37:58-04:00,d79332fddf9f98ad51e145028e5a5c1884de9bb4
11,rpcq/_client.py,e8843af56db021714bfbd1e82aae29bdb8655e08,2018-10-13 17:07:37-07:00,rpcq/_client.py,rpcq/_client.py,,,,,275,18,,,added,7,2020-03-16 15:42:34-07:00,02dc8c2bea69e7a4c074245905740a80326309b3
12,rpcq/_server.py,e8843af56db021714bfbd1e82aae29bdb8655e08,2018-10-13 17:07:37-07:00,rpcq/_server.py,rpcq/_server.py,,,,,375,36,,,added,7,2020-02-25 10:37:29-08:00,0278c62b798cd901efa554e07e56aee3a674103d
