Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,third_party/abcsat/AbcGlucose.cpp,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,596,0,,,added,0,,
2,third_party/abcsat/CMakeLists.txt,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,21,0,,,added,0,,
3,third_party/abcsat/Glucose.cpp,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,1499,0,,,added,0,,
4,third_party/abcsat/SimpSolver.cpp,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,761,0,,,added,0,,
5,third_party/abcsat/abc/AbcGlucose.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,107,0,,,added,0,,
6,third_party/abcsat/abc/Alg.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,88,0,,,added,0,,
7,third_party/abcsat/abc/Alloc.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,136,0,,,added,0,,
8,third_party/abcsat/abc/BoundedQueue.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,114,0,,,added,0,,
9,third_party/abcsat/abc/Constants.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,33,0,,,added,0,,
10,third_party/abcsat/abc/Dimacs.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,85,0,,,added,0,,
11,third_party/abcsat/abc/Heap.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,154,0,,,added,0,,
12,third_party/abcsat/abc/IntTypes.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,49,0,,,added,0,,
13,third_party/abcsat/abc/Map.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,197,0,,,added,0,,
14,third_party/abcsat/abc/Queue.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,73,0,,,added,0,,
15,third_party/abcsat/abc/SimpSolver.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,208,0,,,added,0,,
16,third_party/abcsat/abc/Solver.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,493,0,,,added,0,,
17,third_party/abcsat/abc/SolverTypes.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,437,0,,,added,0,,
18,third_party/abcsat/abc/Sort.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,101,0,,,added,0,,
19,third_party/abcsat/abc/Vec.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,135,0,,,added,0,,
20,third_party/abcsat/abc/XAlloc.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,53,0,,,added,0,,
21,third_party/abcsat/abc/abc_global.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,416,0,,,added,0,,
22,third_party/abcsat/abc/abc_namespaces.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,74,0,,,added,0,,
23,third_party/abcsat/abc/pstdint.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,919,0,,,added,0,,
24,third_party/abcsat/abc/satClause.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,476,0,,,added,0,,
25,third_party/abcsat/abc/satSolver.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,655,0,,,added,0,,
26,third_party/abcsat/abc/satStore.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,158,0,,,added,0,,
27,third_party/abcsat/abc/satVec.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,167,0,,,added,0,,
28,third_party/abcsat/abc/system.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,71,0,,,added,0,,
29,third_party/abcsat/abc/utilDouble.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,224,0,,,added,0,,
30,third_party/abcsat/abc/vecInt.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,2078,0,,,added,0,,
31,third_party/abcsat/abc/vecWec.h,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,716,0,,,added,0,,
32,third_party/abcsat/satSolver.cpp,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,2498,0,,,added,0,,
33,third_party/abcsat/satStore.cpp,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,469,0,,,added,0,,
34,third_party/bill/bill/dd/zdd.hpp,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,928,0,,,added,0,,
35,third_party/bill/bill/sat/cardinality.hpp,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,37,0,,,added,0,,
36,third_party/bill/bill/sat/incremental_totalizer_cardinality.hpp,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,181,0,,,added,0,,
37,third_party/bill/bill/sat/interface/abc_bmcg.hpp,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,175,0,,,added,0,,
38,third_party/bill/bill/sat/interface/abc_bsat2.hpp,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,third_party/bill/bill/sat/interface/abc_bsat2.hpp,third_party/bill/bill/sat/interface/abc_bsat2.hpp,,,,,227,4,,,added,1,2020-06-26 11:00:09+02:00,9b3b53eb447c55d1fd8281186040ad6b3228683b
39,third_party/bill/bill/sat/interface/common.hpp,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,third_party/bill/bill/sat/interface/common.hpp,third_party/bill/bill/sat/interface/common.hpp,,,,,163,3,,,added,1,2020-06-26 11:00:09+02:00,9b3b53eb447c55d1fd8281186040ad6b3228683b
40,third_party/bill/bill/sat/interface/ghack.hpp,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,167,0,,,added,0,,
41,third_party/bill/bill/sat/interface/glucose.hpp,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,167,0,,,added,0,,
42,third_party/bill/bill/sat/interface/maple.hpp,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,169,0,,,added,0,,
43,third_party/bill/bill/sat/interface/types.hpp,17c2af73a5b86fe10eecf3246654198e60d1e560,2020-05-27 16:52:12+02:00,,,,,,,146,0,,,added,0,,
