Category,PIndex,Age
Compiler,0,476
Compiler,1,1242
Compiler,2,809
Cryptography,0,1437
Cryptography,1,2851
Cryptography,2,922
Cryptography,3,1504
Experimentation,0,1637
Experimentation,1,2314
Experimentation,2,1663
Experimentation,3,2159
Experimentation,4,2023
Experimentation,5,1581
Experimentation,6,3065
Experimentation,7,3024
Experimentation,8,1128
Simulator,0,2196
Simulator,1,2379
Simulator,2,662
Simulator,3,1839
Simulator,4,1175
Simulator,5,895
Simulator,6,2395
Simulator,7,647
Simulator,8,2908
Simulator,9,1273
Simulator,10,1008
Simulator,11,704
Simulator,12,920
Simulator,13,845
Simulator,14,811
Simulator,15,803
Simulator,16,595
Simulator,17,3141
Simulator,18,674
Simulator,19,1076
Full-stack Library,0,1302
Full-stack Library,1,1051
Full-stack Library,2,701
Full-stack Library,3,965
Full-stack Library,4,1354
Full-stack Library,5,652
Full-stack Library,6,637
Full-stack Library,7,1032
Full-stack Library,8,704
Full-stack Library,9,714
Full-stack Library,10,1367
Full-stack Library,11,586
Full-stack Library,12,914
Full-stack Library,13,782
Full-stack Library,14,1015
Full-stack Library,15,490
Quantum Annealing,0,903
Quantum Annealing,1,1367
Quantum Annealing,2,1154
Quantum Annealing,3,973
Quantum Annealing,4,1001
Quantum Annealing,5,1076
Quantum-Chemistry,0,2367
Quantum-Chemistry,1,2338
Quantum-Chemistry,2,1009
Quantum-Chemistry,3,739
Quantum-Chemistry,4,923
Quantum-Chemistry,5,1336
Quantum-Chemistry,6,2423
Quantum-Chemistry,7,1128
Quantum-Chemistry,8,1352
Quantum-Chemistry,9,724
Quantum-Chemistry,10,1709
Quantum-Chemistry,11,1933
Quantum-Chemistry,12,1527
Quantum-Chemistry,13,2368
Quantum-Chemistry,14,1815
Quantum-Chemistry,15,2218
Quantum-Chemistry,16,1819
Quantum-Chemistry,17,763
Quantum-Chemistry,18,917
ToolKit,0,2597
ToolKit,1,1646
ToolKit,2,1749
ToolKit,3,892
ToolKit,4,840
ToolKit,5,805
ToolKit,6,806
ToolKit,7,552
ToolKit,8,2909
ToolKit,9,2388
ToolKit,10,534
ToolKit,11,231
ToolKit,12,585
ToolKit,13,803
ToolKit,14,2607
ToolKit,15,1619
ToolKit,16,3075
ToolKit,17,670
ToolKit,18,653
ToolKit,19,1773
ToolKit,20,1828
ToolKit,21,1189
Quantum Algorithsm,0,1266
Quantum Algorithsm,1,3098
Quantum Algorithsm,2,836
Quantum Algorithsm,3,1099
Quantum Algorithsm,4,1373
Quantum Algorithsm,5,883
Quantum Algorithsm,6,856
Quantum Algorithsm,7,673
Quantum Algorithsm,8,2278
Quantum Algorithsm,9,1415
Quantum Algorithsm,10,912
Quantum Algorithsm,11,1500
Quantum Algorithsm,12,1243
Quantum Algorithsm,13,1634
Assembly,0,1525
Assembly,1,684
Assembly,2,1165
Assembly,3,1655
Assembly,4,1276
